Apto,Estatus,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,TOTAL,a,b,c,"Cant.
Cuotas"," Valor
Cuotas"
1317,4.Plan de pagos,,,,,,,,,,,,,,,,,," 10,000.00 "," 7,605.00 "," 7,605.00 "," 7,605.00 "," 7,605.00 "," 7,605.00 "," 7,605.00 "," 7,605.00 "," 7,605.00 "," 7,605.00 "," 7,605.00 "," 7,605.00 "," 7,605.00 "," 7,605.00 "," 7,605.00 "," 7,605.00 "," 7,610.00 ",,,,,,,,,,,,,,,,,,," 131,685.00 ", -   ," 131,685.00 ",0,17," 7,746.18 "
1318,"2,Reserva",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-135,125.53 ", -   ,0,0, -   
1401,4.Plan de pagos,,,,,," 6,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 6,300.00 ",,,,,,,,,,,,,,,,,,,,,,,,," 117,300.00 ", -   ," 117,300.00 ",0,23," 5,100.00 "
1402,4.Plan de pagos,,,,,,,,,,,,,,,,,,,," 10,000.00 "," 8,230.00 "," 8,230.00 "," 8,230.00 "," 8,230.00 "," 8,230.00 "," 8,230.00 "," 8,230.00 "," 8,230.00 "," 8,230.00 "," 8,230.00 "," 8,230.00 "," 8,230.00 "," 8,230.00 "," 8,230.00 ",,,,,,,,,,,,,,,,,,," 125,220.00 ", 18.00 ," 125,220.00 ",0,15," 8,348.00 "
1403,4.Plan de pagos," 6,000.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,266.00 "," 2,283.54 ",,,,,,,,,,,,,,,,," 85,327.54 ", -   ," 85,327.54 ",0,36," 2,370.21 "
1404,4.Plan de pagos," 6,000.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 4,600.00 "," 6,071.00 "," 6,100.00 ",,,,,,,,,,,,,,,,," 169,971.00 ", -   ," 169,971.00 ",0,36," 4,721.42 "
1405,4.Plan de pagos,," 6,000.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,279.00 "," 4,288.00 ",,,,,,,,,,,,,,,,,,,,,," 130,100.00 ", -   ," 130,100.00 ",0,30," 4,336.67 "
1406,4.Plan de pagos," 6,000.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,690.00 "," 1,740.00 ",,,,,,,,,,,,,,,,," 65,200.00 ", -   ," 65,200.00 ",0,36," 1,811.11 "
1407,4.Plan de pagos,,,,,," 6,000.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,056.00 "," 4,066.00 ",,,,,,,,,,,,,,,,,,,,,," 107,410.00 ", -   ," 107,410.00 ",0,26," 4,131.15 "
1408,2.Reserva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-133,158.95 ", -   ,0,0, -   
